antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.047323548456723506,0.04257500539607166,0.028599179797107705,0.6043329532497149,14.194547895594065,1.0,0.026584379466201444,2.419774409993214,0.9757251941029053,0.4665492957746479,0.5867383356604698,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04257500539607166,0.047323548456723506,0.028599179797107705,0.6717363751584283,14.194547895594063,1.0,0.026584379466201444,2.9021688041221814,0.9708858874985511,0.4665492957746479,0.6554301050374395,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.047323548456723506,0.03307791927476797,0.021368443772933305,0.451539338654504,13.650778179356065,1.0,0.019803079257286235,1.7629743550852983,0.9727794798737874,0.36197440585009133,0.4327767745937423,0.5487713006486223
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03307791927476797,0.047323548456723506,0.021368443772933305,0.6460032626427407,13.650778179356065,1.0,0.019803079257286235,2.691201220258196,0.9584475538351314,0.36197440585009133,0.628418717830375,0.5487713006486223
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.037988344485214764,0.03323980142456292,0.022879343837686163,0.6022727272727272,18.11902302243211,1.0,0.021616618810549736,2.430711356418241,0.9821184399354842,0.47321428571428564,0.5885977998335666,0.6452922077922078
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03323980142456292,0.037988344485214764,0.022879343837686163,0.6883116883116883,18.119023022432113,1.0,0.021616618810549736,3.0864540614432694,0.9772944601010165,0.47321428571428564,0.6760036015140345,0.6452922077922078
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03426505503993093,0.04079430174832722,0.024983811785020505,0.7291338582677166,17.87342415531392,1.0,0.02358599279029852,3.5412535952896067,0.9775467032313897,0.4989224137931034,0.7176141236170862,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04079430174832722,0.03426505503993093,0.024983811785020505,0.6124338624338624,17.87342415531392,1.0,0.02358599279029852,2.4917939194191545,0.984200795889524,0.4989224137931034,0.5986827031694887,0.6707838603507895
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03000215842866393,0.03728685516943665,0.024821929635225556,0.827338129496403,22.18846630365751,1.0,0.02370324349912547,5.575713630477015,0.9844676960585128,0.5844980940279544,0.8206507603737089,0.7465200054139034
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03728685516943665,0.03000215842866393,0.024821929635225556,0.6657018813314037,22.188466303657506,1.0,0.02370324349912547,2.9015952750034337,0.9919170060169175,0.5844980940279544,0.6553619973761445,0.7465200054139034
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09189510036693287,0.03728685516943665,0.020181308007770342,0.2196124486200822,5.889808824641625,1.0,0.01675482870960767,1.2336346769348754,0.9142283040193858,0.18514851485148515,0.18938724835084148,0.38042851085128565
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.03728685516943665,0.09189510036693287,0.020181308007770342,0.5412445730824891,5.889808824641626,1.0,0.01675482870960767,1.9794968001465278,0.862370277918404,0.18514851485148515,0.4948211081089005,0.38042851085128565
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04225124109648176,0.03728685516943665,0.029192747679689185,0.6909323116219668,18.530184658434568,1.0,0.02761733177219572,3.1148941834807067,0.9877684395330282,0.5798499464094319,0.6789618070163269,0.7369278055939066
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03728685516943665,0.04225124109648176,0.029192747679689185,0.7829232995658465,18.530184658434568,1.0,0.02761733177219572,4.412029282682205,0.9826748519293604,0.5798499464094319,0.7733469258862057,0.7369278055939066
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.05185624865098209,0.04322253399525146,0.021962011655514785,0.42351716961498437,9.798527075287003,1.0,0.019720653185331498,1.6596807668421723,0.9470545405324301,0.3003690036900369,0.39747449028847165,0.46581601302222375
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04322253399525146,0.05185624865098209,0.021962011655514785,0.5081148564294632,9.798527075287005,1.0,0.019720653185331498,1.9275714335801102,0.9385085630644255,0.3003690036900369,0.48121248189350696,0.46581601302222375
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04699978415713361,0.08633714655730629,0.02946255126268077,0.6268656716417911,7.260671641791045,1.0,0.025404724009744563,2.4486164472264194,0.9047969564361614,0.28363636363636363,0.5916061083667418,0.48405783582089557
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.08633714655730629,0.04699978415713361,0.02946255126268077,0.34125,7.260671641791045,1.0,0.025404724009744563,1.4466796445432508,0.9437526014421832,0.28363636363636363,0.30876196138384004,0.48405783582089557
